0
Angle: 0.100000, Ray Points: x: 499.332886, y: 320.000000 
Angle: 0.200000, Ray Points: x: 398.663086, y: 320.000000 
Angle: 0.300000, Ray Points: x: 364.654541, y: 320.000000 
Angle: 0.400000, Ray Points: x: 347.304443, y: 320.000000 
Angle: 0.500000, Ray Points: x: 336.609741, y: 320.000000 
Angle: 0.600000, Ray Points: x: 329.233917, y: 320.000000 
Angle: 0.700000, Ray Points: x: 323.744843, y: 320.000000 
Angle: 0.800000, Ray Points: x: 319.424286, y: 320.000000 
Angle: 0.900000, Ray Points: x: 315.871033, y: 320.000000 
Angle: 1.000000, Ray Points: x: 312.841858, y: 320.000000 
Angle: 1.100000, Ray Points: x: 310.179352, y: 320.000000 
Angle: 1.200000, Ray Points: x: 307.775604, y: 320.000000 
Angle: 1.300000, Ray Points: x: 305.552307, y: 320.000000 
Angle: 1.400000, Ray Points: x: 303.449524, y: 320.000000 
Angle: 1.500000, Ray Points: x: 301.418304, y: 320.000000 
Angle: 1.600000, Ray Points: x: 299.415771, y: 320.000000 
Angle: 1.700000, Ray Points: x: 297.401459, y: 320.000000 
Angle: 1.800000, Ray Points: x: 295.333923, y: 320.000000 
Angle: 1.900000, Ray Points: x: 293.167297, y: 320.000000 
Angle: 2.000000, Ray Points: x: 290.846863, y: 320.000000 
Angle: 2.100000, Ray Points: x: 288.303040, y: 320.000000 
Angle: 2.200000, Ray Points: x: 285.442078, y: 320.000000 
Angle: 2.300000, Ray Points: x: 282.130310, y: 320.000000 
Angle: 2.400000, Ray Points: x: 278.166260, y: 320.000000 
Angle: 2.500000, Ray Points: x: 273.227051, y: 320.000000 
Angle: 2.600000, Ray Points: x: 266.755127, y: 320.000000 
Angle: 2.700000, Ray Points: x: 257.692322, y: 320.000000 
Angle: 2.800000, Ray Points: x: 243.745941, y: 320.000000 
Angle: 2.900000, Ray Points: x: 218.832916, y: 320.000000 
Angle: 3.000000, Ray Points: x: 159.694946, y: 320.000000 
Angle: 3.100000, Ray Points: x: -180.575714, y: 320.000000 
Angle: 3.200000, Ray Points: x: -452.472412, y: 256.000000 
Angle: 3.300000, Ray Points: x: 24.562225, y: 256.000000 
Angle: 3.400000, Ray Points: x: 133.533218, y: 256.000000 
Angle: 3.500000, Ray Points: x: 182.536865, y: 256.000000 
Angle: 3.600000, Ray Points: x: 210.834900, y: 256.000000 
Angle: 3.700000, Ray Points: x: 229.569931, y: 256.000000 
Angle: 3.800000, Ray Points: x: 243.119827, y: 256.000000 
Angle: 3.900000, Ray Points: x: 253.558319, y: 256.000000 
Angle: 4.000000, Ray Points: x: 261.997589, y: 256.000000 
Angle: 4.100000, Ray Points: x: 269.090851, y: 256.000000 
Angle: 4.200000, Ray Points: x: 275.250000, y: 256.000000 
Angle: 4.300000, Ray Points: x: 280.751129, y: 256.000000 
Angle: 4.400000, Ray Points: x: 285.789612, y: 256.000000 
Angle: 4.500000, Ray Points: x: 290.511780, y: 256.000000 
Angle: 4.600000, Ray Points: x: 295.033966, y: 256.000000 
Angle: 4.700000, Ray Points: x: 299.454834, y: 256.000000 
Angle: 4.800000, Ray Points: x: 303.864777, y: 256.000000 
Angle: 4.900000, Ray Points: x: 308.353119, y: 256.000000 
Angle: 5.000000, Ray Points: x: 313.015778, y: 256.000000 
Angle: 5.100000, Ray Points: x: 317.963654, y: 256.000000 
Angle: 5.200000, Ray Points: x: 323.334229, y: 256.000000 
Angle: 5.300000, Ray Points: x: 329.308472, y: 256.000000 
Angle: 5.400000, Ray Points: x: 336.138428, y: 256.000000 
Angle: 5.500000, Ray Points: x: 344.195160, y: 256.000000 
Angle: 5.600000, Ray Points: x: 354.057800, y: 256.000000 
Angle: 5.700000, Ray Points: x: 366.693878, y: 256.000000 
Angle: 5.800000, Ray Points: x: 383.862885, y: 256.000000 
Angle: 5.900000, Ray Points: x: 409.151123, y: 256.000000 
Angle: 6.000000, Ray Points: x: 451.199524, y: 256.000000 
Angle: 6.100000, Ray Points: x: 537.501038, y: 256.000000 
Angle: 6.200000, Ray Points: x: 827.717712, y: 256.000000 
Angle: 6.300000, Ray Points: x: -2316.482910, y: 256.000000 
